"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"PyDev - Editor","Python Un Collapse","Ctrl+=","PyDev editor scope"
"Run/Debug","Step Into","F5","Debugging"
"pepticcategory","Extract Local Variable...","Shift+Alt+T L","PyDev editor scope"
"PyDev - Editor","Go to Matching Bracket","Shift+Ctrl+P","PyDev editor scope"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Project","Make Target Build","Shift+F9","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"Source","Back","Alt+Left","In Macro Expansion Hover"
"Window","Quick Access","Ctrl+3","In Windows"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"File","&Import Modules","Ctrl+I","In Windows"
"File","Print","Ctrl+P","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"PyDev - Editor","Python Show Outline","Ctrl+O","PyDev editor scope"
"File","Refresh","F5","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Comparing in an Editor"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Edit","Modify &Parsing Expression","Ctrl+Alt+F6","In Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"File","Close All","Shift+Ctrl+W","In Windows"
"Source","Declaration","Ctrl+G","C/C++ Editor"
"PyDev - Run","Terminate all launches","Ctrl+Alt+F9","PyDev editor scope"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"pepticcategory","Rename...","Shift+Alt+R","PyDev editor scope"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"UML2 Sequence Diagram Viewer Commands","Scroll up","Shift+Alt+Up","UML2 Sequence Diagram Viewer"
"PyDev - Editor","Select Enclosing Scope","Shift+Alt+Up","PyDev editor scope"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"JFormDesigner","New JFormDesigner Form","Shift+Ctrl+V","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"PyDev - Editor","Show Python Class Hierarchy","F4","PyDev editor scope"
"File","Rename","F2","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Navigate","Backward History","Alt+Left","In Windows"
"Source","Indent Line","Ctrl+I","C/C++ Editor"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Edit","Find Next","Ctrl+K","Editing Text"
"Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"JFormDesigner","Go to JFormDesigner form / Java code","Shift+Ctrl+D","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"PyDev - Editor","Deselect Enclosing Scope","Shift+Alt+Down","PyDev editor scope"
"Run/Debug","Debug","F11","In Windows"
"UML2 Sequence Diagram Viewer Commands","Scroll left","Shift+Alt+Left","UML2 Sequence Diagram Viewer"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"PyDev - Editor","Offline Action for scripting","Ctrl+2","PyDev editor scope"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"File","Close","Ctrl+W","In Windows"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"File","&Export Script...","Ctrl+4","In Windows"
"PyDev - Run","Run custom tests","Ctrl+F9","PyDev editor scope"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Search","File Search","Ctrl+H","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"UML2 Sequence Diagram Viewer Commands","Show node start ","Shift+Alt+Home","UML2 Sequence Diagram Viewer"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Comparing in an Editor"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Source","Open Declaration","F3","In Macro Expansion Hover"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Run/Debug","Debug Android Application","Shift+Alt+A D","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Jigloo","Toggle between source and form editor","Ctrl+Alt+T","Editing Text"
"pepticcategory","Generate Properties...","Shift+Alt+T P","PyDev editor scope"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Edit","Delete","Delete","In Windows"
"Changelog","Prepare Commit","Ctrl+Alt+V","Editing Text"
"File","New menu","Shift+Alt+N","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"UML2 Sequence Diagram Viewer Commands","Scroll right","Shift+Alt+Right","UML2 Sequence Diagram Viewer"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"PyDev - Editor","Python Format Code","Shift+Ctrl+F","PyDev editor scope"
"File","&Create Module...","Ctrl+5","In Windows"
"pepticcategory","Extract Local Variable...","Shift+Alt+L","PyDev editor scope"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Changelog","Format ChangeLog","Esc Ctrl+F","Editing Text"
"PyDev - Run","Set Next Statement","Ctrl+Alt+R","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Changelog","Prepare Changelog","Ctrl+Alt+P","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Window","Quick Access","Ctrl+`","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Editor Commands","Organize patches","Shift+Ctrl+O","Specfile Editor Context"
"Source","References","Shift+Ctrl+G","C/C++ Editor"
"Window","Next View","Ctrl+F7","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
